序号,日语词汇,假名,词性,陌生程度,翻译,
1054,納得,なっとく,名詞/サ変,9,纳悟,
1055,下読み,したよみ,名詞/サ変,9,预读,
1056,下火,したび,名詞,9,衰退，减弱,
1057,衰える,おとろえる,自動詞,9,衰退,
1058,廃れる,すたれる,自動詞,9,废弛,
1059,シック,しっく,形容動詞,9,雅致，时髦,
1060,インテリア,いんてりあ,名詞,9,室内装饰,
1061,じっくり,じっくり,副詞,9,仔细地，踏踏实实,
1062,着実,ちゃくじつ,名詞/形容動詞,9,踏实,
1063,躾,しつけ,名詞,9,教养，家教,
1064,躾ける,しつける,他動詞,9,教育,
1065,淑やか,しとやか,形容動詞,9,端庄，稳重,
1066,上品,じょうひん,名詞/形容動詞,9,高雅,
1067,穏やか,おだやか,形容動詞,9,稳静,
1068,萎びる,しなびる,自動詞,9,枯萎，干枯,
1069,枯れる,かれる,自動詞,9,枯死,
1070,水々しい,みずみずしい,形容詞,9,水嫩,
1071,しなやか,しなやか,形容動詞,9,柔软，灵活,
1072,柔らかい,やわらかい,形容詞,9,柔软,
1073,凌ぐ,しのぐ,他動詞,9,摆脱；抵御；忍受,
1074,勢い,いきおい,名詞,9,气势,
1075,乗り越える,のりこえる,他動詞,9,跨越,
1076,渋い,しぶい,形容詞,9,涩味；素雅；不快；吝啬,
1077,ケチ,けち,名詞/形容動詞,9,小气,
1078,しぶとい,しぶとい,形容詞,9,顽强，有毅力；顽固,
1079,根気,こんき,名詞,9,毅力,
1080,辛抱,しんぼう,名詞/サ変,9,忍耐,
1081,粘る,ねばる,自動詞,9,不气馁,
1082,粘り強い,ねばりづよい,形容詞,9,有韧性,
1083,染みる,しみる,自動詞,9,刺骨；染上；铭刻,
1084,骨身,ほねみ,名詞,9,骨肉,
1085,染み出る,しみでる,自動詞,9,渗出,
1086,教訓,きょうくん,名詞/サ変,9,教训,
1087,若干,じゃっかん,名詞/副詞,9,若干，少许,
1088,余り,あまり,名詞/副詞,9,剩余,
1089,ジャンル,じゃんる,名詞,9,种类,
1090,執着,しゅうちゃく,名詞/サ変,9,留恋，执着,
1091,未練,みれん,名詞/形容動詞,9,眷恋,
1092,出世,しゅっせ,名詞/サ変,9,成功，发迹,
1093,しょっちゅう,しょっちゅう,副詞,9,经常，总是,
1094,いつも,いつも,副詞/名詞,9,总是,
1095,常に,つねに,副詞,9,经常,
1096,始終,しじゅう,副詞/名詞,9,始终,
1097,迅速,じんそく,名詞/形容動詞,9,迅速,
1098,速度,そくど,名詞,9,速度,
1099,辛抱,しんぼう,名詞/サ変,9,忍耐，忍受,
1100,介抱,かいほう,名詞/サ変,9,照料,
1101,移る,うつる,自動詞,9,移动,
1102,抱負,ほうふ,名詞,9,抱负,
1103,包装,ほうそう,名詞/サ変,9,包装,
1104,抱く,いだく,他動詞,9,怀抱,
1105,抱える,かかえる,他動詞,9,承担,
1106,我慢,がまん,名詞/サ変,9,忍耐,
1107,堪える,こらえる,自他動詞,9,忍住,
1108,勘弁,かんべん,名詞/サ変,9,原谅,
1109,据える,すえる,他動詞,9,安置；沉着,
1110,腰を据える,こしをすえる,動詞句,9,下定决心,
1111,目を凝らす,めをこらす,動詞句,9,凝视,
1112,清々しい,すがすがしい,形容詞,9,清爽，清新,
1113,爽やか,さわやか,形容動詞,9,清新,
1114,清らか,きよらか,形容動詞,9,纯净,
1115,清い,きよい,形容詞,9,洁白,
1116,掬う,すくう,他動詞,9,捞取，掬取,
1117,縁日,えんにち,名詞,9,庙会,
1118,屋台,やたい,名詞,9,路边摊,
1119,金魚,きんぎょ,名詞,9,金鱼,
1120,救う,すくう,他動詞,9,解救,
1121,捧げる,ささげる,他動詞,9,奉献,
1122,健やか,すこやか,形容動詞,9,健壮，健康,
1123,健全,けんぜん,名詞/形容動詞,9,健全,
1124,すすぐ,すすぐ,他動詞,9,洗刷；洗去汚名,
1125,汚名,おめい,名詞,9,污名,
1126,廃れる,すたれる,自動詞,9,过时，衰退,
1127,衰える,おとろえる,自動詞,9,衰弱,
1128,下火,したび,名詞,9,消退,
1129,ストレス,すとれす,名詞,9,精神压力,
1130,すばしこい,すばしこい,形容詞,9,动作敏捷，利落,
1131,逃げ足,にげあし,名詞,9,逃跑速度,
1132,素早い,すばやい,形容詞,9,快速，敏捷,
1133,速やか,すみやか,形容動詞,9,迅速，及时,
1134,対策を立てる,たいさくをたてる,動詞句,9,制定对策,
1135,ずばり,ずばり,副詞,9,一语道破，击中要害,
1136,鋭い,するどい,形容詞,9,尖锐,
1137,ずぶ濡れ,ずぶぬれ,名詞/形容動詞,9,全身湿透,
1138,ずぶ,ずぶ,副詞,9,完全,
1139,濡れる,ぬれる,自動詞,9,湿透,
1140,びっしょり,びっしょり,副詞/形容動詞,9,落汤鸡,
1141,ずらっと・ずらりと,ずらっと,副詞,9,成排的,
1142,並ぶ,ならぶ,自動詞,9,排列,
1143,整然,せいぜん,名詞/形容動詞,9,井然,
1144,ずるずる,ずるずる,副詞/サ変,9,拖拉，墨迹,
1145,あやふや,あやふや,形容動詞,9,模糊,
1146,曖昧,あいまい,名詞/形容動詞,9,暧昧,
1147,引き延ばす,ひきのばす,他動詞,9,延期,
1148,狡い,ずるい,形容詞,9,狡猾,
1149,いやいや,いやいや,副詞,9,勉强,
1150,すれ違い,すれちがい,名詞,9,交错,
1151,ざま,ざま,名詞,9,样子,
1152,掛け合う,かけあう,自動詞,9,交涉,
1153,食い違う,くいちがう,自動詞,9,意见不同,
1154,行き違う,ゆきちがう,自動詞,9,走两岔,
1155,すんなり,すんなり,副詞/サ変,9,苗条；顺利,
1156,華奢,きゃしゃ,形容動詞,9,苗条,
1157,ほっそり,ほっそり,副詞/サ変,9,纤细,
1158,すらっと,すらっと,副詞/サ変,9,苗条,
1159,順調,じゅんちょう,名詞/形容動詞,9,顺利,
1160,円滑,えんかつ,形容動詞,9,圆滑,
1161,スムーズ,すむーず,形容動詞,9,流畅,
1162,整然,せいぜん,名詞/形容動詞,9,井然有序,
1163,植木鉢,うえきばち,名詞,9,花盆,
1164,整う,ととのう,自動詞,9,整齐,
1165,急かす,せかす,他動詞,9,催促,
1166,急がせる,いそがせる,他動詞,9,使着急,
1167,急かせる,せかせる,他動詞,9,催促,
1168,催促,さいそく,名詞/サ変,9,催促,
1169,催す,もよおす,他動詞,9,举办,
1170,促す,うながす,他動詞,9,促进,
1171,世辞,せじ,名詞,9,恭维，奉承,
1172,是正,ぜせい,名詞/サ変,9,更正，订正,
1173,給与,きゅうよ,名詞/サ変,9,薪水,
1174,是非,ぜひ,名詞/副詞,9,务必,
1175,改正,かいせい,名詞/サ変,9,改正,
1176,修正,しゅうせい,名詞/サ変,9,修正,
1177,訂正,ていせい,名詞/サ変,9,订正,
1178,切実,せつじつ,形容動詞,9,切实，迫切,
1179,つくづく,つくづく,副詞,9,深切地,
1180,痛切,つうせつ,形容動詞,9,深切,
1181,堅実,けんじつ,名詞/形容動詞,9,稳健,
1182,切ない,せつない,形容詞,9,难受，苦闷,
1183,離れ離れ,はなればなれ,名詞/形容動詞,9,零散,
1184,辛い,つらい,形容詞,9,辛苦,
1185,息苦しい,いきぐるしい,形容詞,9,喘不过气,
1186,そびえる,そびえる,自動詞,9,耸立，矗立,
1187,逸らす,そらす,他動詞,9,回避，转移,
1188,悲惨さ,ひさんさ,名詞,9,悲惨,
1189,ぞんざい,ぞんざい,形容動詞,9,草率，马虎,
1190,印象,いんしょう,名詞,9,印象,
1191,対処,たいしょ,名詞/サ変,9,处理，应对,
1192,大物,おおもの,名詞,9,大人物，有影响力的人,
1193,扱う,あつかう,他動詞,9,处理，操作,
1194,操る,あやつる,他動詞,9,操作，操纵,
1195,対応,たいおう,名詞/サ変,9,对应，适应,
1196,根拠,こんきょ,名詞,9,根据，依据,
1197,証拠,しょうこ,名詞,9,证据,
1198,台無し,だいなし,名詞,9,断送，糟蹋,
1199,キャンプ,きゃんぷ,名詞,9,露营，野营,
1200,だめになる,だめになる,連語/動詞,9,不行，不可以，无用,
1201,逞しい,たくましい,形容詞,9,坚强，旺盛，健壮,
1202,ひ弱,ひよわ,形容動詞,9,虚弱，纤弱，柔弱,
1203,ひ,ひ,接頭辞,9,接头词，表示非常，程度,
1204,すっかり,すっかり,副詞,9,完全，彻底，全部,
1205,頑丈,がんじょう,形容動詞,9,健壮，强壮,
1206,しっかり,しっかり,副詞/サ変,9,扎实，稳固,
1207,がっしり,がっしり,副詞/サ変,9,粗壮，健壮,
1208,根気,こんき,名詞,9,耐性，毅力,
1209,粘る,ねばる,自動詞,9,有毅力，有韧性,
1210,挫ける,くじける,自動詞,9,受挫，气馁,
1211,落ち込む,おちこむ,自動詞,9,心情低落,
1212,巧み,たくみ,名詞/形容動詞,9,巧妙，精巧,
1213,漁師,りょうし,名詞,9,渔夫,
1214,操る,あやつる,他動詞,9,操作，操控,
1215,追い込む,おいこむ,他動詞,9,逼迫，迫使；赶进,
1216,巧妙,こうみょう,形容動詞,9,巧妙（带贬义）,
1217,上手,じょうず,形容動詞,9,擅长，高明,
1218,携わる,たずさわる,自動詞,9,参与，从事,
1219,携える,たずさえる,他動詞,9,携带，带有,
1220,従事,じゅうじ,名詞/サ変,9,参与，从事,
1221,営む,いとなむ,他動詞,9,经营，从事,
1222,預ける,あずける,他動詞,9,寄存，存放,
1223,預かる,あずかる,他動詞,9,保管,
1224,触る,さわる,自動詞,9,抚摸，触碰,
1225,触れる,ふれる,自動詞,9,触及，提到,
1226,辿る,たどる,他動詞,9,追溯，探索；走向,
1227,破滅,はめつ,名詞/サ変,9,灭绝,
1228,滅多,めった,形容動詞,9,几乎（常接否定）,
1229,滅びる,ほろびる,自動詞,9,毁灭,
1230,滅ぼす,ほろぼす,他動詞,9,使毁灭,
1231,遡る・溯る,さかのぼる,自動詞,9,追溯；逆流而上,
1232,建前,たてまえ,名詞,9,方针，原则；场面话,
1233,本音,ほんね,名詞,9,真心话，真实想法,
1234,束ねる,たばねる,他動詞,9,包，捆，束,
1235,花束,はなたば,名詞,9,花束,
1236,縛る,しばる,他動詞,9,捆绑,
1237,括る,くくる,他動詞,9,捆扎，概括,
1238,きつく括る,きつくくくる,動詞句,9,捆紧,
1239,ゆるく括る,ゆるくくくる,動詞句,9,轻捆,
1240,だぶだぶ,だぶだぶ,副詞/サ変/形容動詞,9,又肥又大,
1241,緩い,ゆるい,形容詞,9,松的，不紧的,
1242,ぶだぶだ,ぶだぶだ,形容動詞,9,肥大,
1243,窮屈,きゅうくつ,形容動詞,9,紧，瘦小,
1244,きつい,きつい,形容詞,9,严格，困难，紧,
1245,褪せる,あせる,自動詞,9,褪色,
1246,縮む,ちぢむ,自動詞,9,衣服缩水,
1247,畳む,たたむ,他動詞,9,折叠,
1248,保つ,たもつ,他動詞,9,保持，维持,
1249,守る,まもる,他動詞,9,遵守，守护,
1250,維持,いじ,名詞/サ変,9,维持,
1251,容易い,たやすい,形容詞,9,轻松，容易,
1252,易しい,やさしい,形容詞,9,容易，简单,
1253,容易,ようい,形容動詞,9,容易,
1254,手軽,てがる,形容動詞,9,简单，轻松,
1255,安い,やすい,形容詞,9,便宜,
1256,弛む,たるむ,自動詞,9,松懈,
1257,気が弛む,きがたるむ,動詞句,9,松弛，松懈,
1258,疲れた,つかれた,動詞,9,疲倦,
1259,億劫,おっくう,形容動詞,9,麻烦，费事；懒得动,
1260,緩む,ゆるむ,自動詞,9,松弛，松懈,
1261,怠い,だるい,形容詞,9,发倦，慵懒,
1262,単一,たんいつ,名詞/形容動詞,9,单一,
1263,统一,とういつ,名詞/サ变,9,统一，一致,
1264,同一,どういつ,名詞/形容動詞,9,相同的,
1265,唯一,ゆいいつ,名詞/副詞,9,唯一，独一无二,
1266,画一的,かくいつてき,形容動詞,9,统一的，一样的,
1267,丹念,たんねん,形容動詞,9,仔细，认真,
1268,専念,せんねん,名詞/サ変,9,专心致志,
1269,真面目,まじめ,形容動詞,9,认真,
1270,生真面目,きまじめ,形容動詞,9,一本正经,
1271,几帳面,きちょうめん,形容動詞,9,一丝不苟,
1272,専心,せんしん,名詞/サ変,9,专心,
1273,着目,ちゃくもく,名詞/サ变,9,着眼，注目,
1274,着眼,ちゃくがん,名詞/サ变,9,着眼,
1275,着手,ちゃくしゅ,名詞/サ变,9,开始做某事,
1276,着実,ちゃくじつ,形容動詞,9,着实，稳步,
1277,じっくり,じっくり,副詞,9,仔细地，踏踏实实,
1278,着々と,ちゃくちゃくと,副詞,9,稳步地，踏踏实实地,
1279,着服,ちゃくふく,名詞/サ変,9,侵吞，私吞,
1280,ちやほや,ちやほや,副詞/サ变,9,溺爱，娇养,
1281,一人っ子,ひとりっこ,名詞,9,独生子,
1282,甘やかす,あまやかす,他動詞,9,娇惯，溺爱,
1283,甘える,あまえる,自動詞,9,撒娇，依赖,
1284,甘い,あまい,形容詞,9,甜，天真，宽松,
1285,中傷,ちゅうしょう,名詞/サ変,9,中伤，诽谤,
1286,陥れる,おとしいれる,他動詞,9,陷害，使陷入,
1287,陥る,おちいる,自動詞,9,掉落，陷入,
1288,調達,ちょうたつ,名詞/サ变,9,采购，筹措,
1289,抵当,ていとう,名詞,9,抵押,
1290,重宝,ちょうほう,名詞/形容動詞/サ変,9,器重，爱惜；便利,
1291,貴重,きちょう,形容動詞,9,宝贵,
1292,慎重,しんちょう,形容動詞,9,慎重,
1293,尊重,そんちょう,名詞/サ变,9,尊重,
1294,重視,じゅうし,名詞/サ变,9,重视,
1295,重要,じゅうよう,形容動詞,9,重要,
1296,国宝,こくほう,名詞,9,国宝,
1297,家宝,かほう,名詞,9,传家宝,
1298,宝,たから,名詞,9,宝物,
1299,宝くじ,たからくじ,名詞,9,彩票,
1300,ちょくちょく,ちょくちょく,副詞,9,时常，常常,
1301,しょっちゅう,しょっちゅう,副詞,9,经常，总是,
1302,常に,つねに,副詞,9,始终，一直,
1303,とかく,とかく,副詞,9,动不动，总是,
1304,頻りに,しきりに,副詞,9,频繁地，不断地,
1305,屡々,しばしば,副詞,9,屡次，常常,
1306,ちらりと・ちらっと,ちらりと,副詞,9,一闪一过，一晃而过,
1307,ずらっと,ずらっと,副詞,9,成排的,
1308,ずらりと,ずらりと,副詞,9,整齐排列,
1309,费やす,ついやす,他動詞,9,花费，浪费,
1310,無駄,むだ,名詞/形容動詞,9,浪费，徒劳,
1311,無駄遣い,むだづかい,名詞/サ変,9,浪费钱,
1312,無駄口,むだぐち,名詞,9,废话,
1313,痛切,つうせつ,名詞/形容動詞,9,痛切，深切,
1314,つくづく,つくづく,副詞,9,深切地，痛切,
1315,染み染み,しみじみ,副詞,9,深切，深刻,
1316,月並み,つきなみ,名詞/形容動詞,9,平庸，平凡,
1317,普通,ふつう,名詞/形容動詞/副詞,9,普通,
1318,有り触れる,ありふれる,自動詞,9,常见，普通,
1319,珍しい,めずらしい,形容詞,9,罕见，希奇,
1320,尽きる,つきる,自動詞,9,用完，用尽,
1321,我武者羅,がむしゃら,形容動詞,9,鲁莽，盲目地,
1322,爱想を尽くす,あいそをつくす,動詞句,9,耗尽了好感,
1323,尽くす,つくす,他動詞,9,竭尽,
1324,つくづく,つくづく,副詞,9,深切，痛切；仔细,
1325,染み染み,しみじみ,副詞,9,深刻，感慨,
1326,痛切,つうせつ,名詞/形容動詞,9,深切，痛彻,
1327,告げる,つげる,他動詞,9,告知，通知,
1328,広告,こうこく,名詞/サ变,9,广告,
1329,告白,こくはく,名詞/サ变,9,告白,
1330,訴える,うったえる,他動詞,9,告知；控告,
1331,告訴,こくそ,名詞/サ变,9,起诉，控告,
1332,訴訟,そしょう,名詞/サ变,9,法律诉讼,
1333,働きかける,はたらきかける,自動詞,9,促动，施加影响,
1334,呼びかける,よびかける,他動詞,9,呼吁，号召,
1335,辻褄,つじつま,名詞,9,条理，逻辑,
1336,ロジック,ろじっく,名詞,9,逻辑,
1337,理屈,りくつ,名詞,9,道理，逻辑,
1338,論理,ろんり,名詞,9,论理,
1339,筋道,すじみち,名詞,9,道理,
1340,謹む・慎む,つつしむ,他動詞,9,谨慎，慎重；节制,
1341,慶び,よろこび,名詞,9,喜悦,
1342,申し上げます,もうしあげます,補助動詞,9,陈述，讲,
1343,遠慮,えんりょ,名詞/サ变,9,客气,
1344,控える,ひかえる,他動詞,9,控制，抑制,
1345,努めて,つとめて,副詞,9,尽量，尽可能,
1346,至る,いたる,自動詞,9,到达,
1347,至って,いたって,副詞,9,极其，非常,
1348,極める,きわめる,他動詞,9,达到极限,
1349,極めて,きわめて,副詞,9,极其,
1350,改める,あらためる,他動詞,9,改，更新,
1351,改めて,あらめて,副詞,9,重新,
1352,努める,つとめる,自動詞,9,努力,
1353,勤める,つとめる,自動詞,9,工作,
1354,務める,つとめる,他動詞,9,担任职务,
1355,抓る,つねる,他動詞,9,拧，掐,
1356,掴む,つかむ,他動詞,9,抓,
1357,握る,にぎる,他動詞,9,握,
1358,打つ,うつ,他動詞,9,击打,
1359,掻く,かく,他動詞,9,抓，挠,
1360,捻る,ひねる,他動詞,9,拧，捻,
1361,摘む,つまむ,他動詞,9,摘取，采摘,
1362,もぐ,もぐ,他動詞,9,摘下,
1363,募る,つのる,自動詞/他動詞,9,征集，招募；越来越厉害,
1364,恋しい,こいしい,形容詞,9,思念,
1365,募集,ぼしゅう,名詞/サ变,9,募集,
1366,応募,おうぼ,名詞/サ变,9,报名,
1367,爱慕,あいぼ,名詞/サ变,9,爱慕,
1368,墓地,ぼち,名詞,9,墓地,
1369,激しい,はげしい,形容詞,9,激烈的,
1370,呟く,つぶやく,自動詞,9,小声嘟囔，发牢骚,
1371,しょっちゅう,しょっちゅう,副詞,9,经常,
1372,囁く,ささやく,自動詞,9,耳语,
1373,独り言,ひとりごと,名詞,9,自言自语,
1374,円ら,つぶら,形容動詞,9,圆的,
1375,瞳,ひとみ,名詞,9,瞳孔，眼珠,
1376,和む,なごむ,自動詞,9,平静,
1377,瞑る,つぶる,他動詞,9,闭眼；佯装不知,
1378,目を瞑る,めをつぶる,動詞句,9,闭眼,
1379,摘む,つまむ,他動詞,9,抓东西，摘取,
1380,掴む,つかむ,他動詞,9,抓,
1381,连なる,つながる,自動詞,9,成排，连绵；牵涉,
1382,連ねる,つらねる,他動詞,9,使成排,
1383,関わる・係る,かかわる,自動詞,9,关联,
1384,繋がる,つながる,自動詞,9,连接,
1385,絡む,からむ,自動詞,9,纠缠,
1386,贯く,つらぬく,他動詞,9,贯彻，坚持；穿过,
1387,初志,しょし,名詞,9,初心,
1388,運河,うんが,名詞,9,运河,
1389,中央,ちゅうおう,名詞,9,中央,
1390,手当,てあて,名詞/サ变,9,津贴，补贴；医疗,
1391,応急,おうきゅう,名詞,9,应急,
1392,定义,ていぎ,名詞/サ变,9,定义,
1393,食い違い,くいちがい,名詞,9,分歧,
1394,異なる,ことなる,自動詞,9,不同,
1395,定まる,さだまる,自動詞,9,决定，确定,
1396,定める,さだめる,他動詞,9,平定，确定,
1397,提携,ていけい,名詞/サ变,9,协作，合作,
1398,唯一,ゆいいつ,名詞/副詞,9,唯一,
1399,提供,ていきょう,名詞/サ变,9,提供,
1400,提示,ていじ,名詞/サ变,9,提示,
1401,提案,ていあん,名詞/サ变,9,提案,
1402,提出,ていしゅつ,名詞/サ变,9,提交,
1403,携わる,たずさわる,自動詞,9,参与,
1404,携える,たずさえる,他動詞,9,携带,
1405,携帯,けいたい,名詞/サ变,9,手机,
1406,協力,きょうりょく,名詞/サ变,9,合作,
1407,共同,きょうどう,名詞/サ变,9,共同,
1408,連合,れんごう,名詞/サ变,9,联合,
1409,体裁,ていさい,名詞,9,门面，样式；奉承话,
1410,体操,たいそう,名詞,9,体操,
1411,ジャンル,じゃんる,名詞,9,体裁，种类,
1412,見栄,みえ,名詞,9,体面，虚荣,
1413,お世辞,おせじ,名詞,9,奉承话,
1414,建前,たてまえ,名詞,9,场面话,
1415,手遅れ,ておくれ,名詞/形容動詞,9,耽误，错过,
1416,最早,もはや,副詞,9,已经,
1417,既に,すでに,副詞,9,已经,
1418,～済み,～ずみ,接尾辞/名詞,9,已经完成,
1419,遅い,おそい,形容詞,9,迟,
1420,遅刻,ちこく,名詞/サ变,9,迟到,
1421,手がかり,てがかり,名詞,9,线索，头绪,
1422,ヒント,ひんと,名詞,9,提示,
1423,糸口,いとぐち,名詞,9,线索,
1424,手掛ける,てがける,他動詞,9,亲自动手,
1425,仕掛ける,しかける,他動詞,9,着手,
1426,手数,てかず,名詞,9,麻烦，周折,
1427,工夫,くふう,名詞/サ变,9,钻研,
1428,手間,てま,名詞,9,功夫,
1429,手轻,てがる,形容動詞,9,简单，轻松地,
1430,容易い,たやすい,形容詞,9,容易,
1431,軽々と,かるがると,副詞,9,轻巧地,
1432,気軽,きがる,形容動詞,9,舒畅，轻松,
1433,気楽,きらく,形容動詞,9,轻松，随意,
1434,手薄,てうす,形容動詞,9,人手不足,
1435,気弱,きよわ,形容動詞,9,性格懦弱,
1436,手厚い,てあつい,形容詞,9,周到，热情,
1437,適宜,てきぎ,副詞/形容動詞,9,酌情，适当,
1438,パセリ,ぱせり,名詞,9,芹菜,
1439,手際,てぎわ,名詞,9,手法，本领,
1440,腕前,うでまえ,名詞,9,能力，本领,
1441,手並み,てなみ,名詞,9,技能，本领,
1442,出会す,でくわす,自動詞,9,偶然碰到,
1443,思いもよらない,おもいもよらない,形容詞句,9,出乎意料,
1444,思いがけない,おもいがけない,形容詞,9,没想到,
1445,案外,あんがい,副詞/形容動詞,9,出乎意料,
1446,手顺,てじゅん,名詞,9,程序，次序,
1447,顺々,じゅんじゅん,副詞,9,按顺序,
1448,順番,じゅんばん,名詞,9,顺序,
1449,順調,じゅんちょう,形容動詞,9,顺利,
1450,従順,じゅうじゅん,形容動詞,9,温顺,
1451,手近,てぢか,名詞/形容動詞,9,手边，眼前；常见,
1452,てっきり,てっきり,副詞,9,一定，必定,
1453,彻する,てっする,自動詞,9,熬夜；贯彻,
1454,前日,ぜんじつ,名詞,9,前一天,
1455,先日,せんじつ,名詞,9,前几天,
1456,金儲け,かねもうけ,名詞/サ变,9,赚钱,
1457,稼ぐ,かせぐ,他動詞,9,赚钱,
1458,設ける,もうける,他動詞,9,设置,
1459,徹夜,てつや,名詞/サ变,9,熬夜,
1460,夜更かし,よふかし,名詞/サ变,9,熬夜,
1461,更かす,ふかす,他動詞,9,熬夜,
1462,贯く,つらぬく,他動詞,9,贯彻,
1463,出直し,でなおし,名詞/サ变,9,重新开始,
1464,やり直す,やりなおす,他動詞,9,重做,
1465,振り出し,ふりだし,名詞,9,起点,
1466,手配,てはい,名詞/サ变,9,通缉；安排，部署,
1467,配る,くばる,他動詞,9,分发,
1468,支配,しはい,名詞/サ变,9,支配,
1469,左右,さゆう,名詞/サ变,9,左右,
1470,操る,あやつる,他動詞,9,操纵,
1471,気配,けはい,名詞,9,迹象,
1472,年配,ねんぱい,名詞,9,年长,
1473,準備,じゅんび,名詞/サ变,9,准备,
1474,支度,したく,名詞/サ变,9,准备,
1475,手筈,てはず,名詞,9,步骤，程序,
1476,筈,はず,名詞,9,应当,
1477,手順,てじゅん,名詞,9,次序,
1478,段取り,だんどり,名詞,9,顺序,
1479,手本,てほん,名詞,9,范本，榜样,
1480,模範,もはん,名詞,9,模范,
1481,モデル,もでる,名詞,9,范本,
1482,倣う,ならう,自動詞,9,仿效,
1483,真似る,まねる,他動詞,9,模仿,
1484,見本,みほん,名詞,9,样品,
1485,脚本,きゃくほん,名詞,9,剧本,
1486,台本,だいほん,名詞,9,脚本,
1487,手回し,てまわし,名詞/サ变,9,预先筹划,
1488,手配,てはい,名詞/サ变,9,安排,
1489,準備,じゅんび,名詞/サ变,9,准备,
1490,支度,したく,名詞/サ变,9,准备,
1491,根回し,ねまわし,名詞/サ变,9,事前疏通,
1492,言い回し,いいまわし,名詞,9,措辞,
1493,リハーサル,りはーさる,名詞,9,排练,
1494,手元,てもと,名詞,9,手边，手头,
1495,手近,てぢか,形容動詞,9,手边,
1496,身近,みぢか,形容動詞,9,身边,
1497,傍ら,かたわら,名詞,9,旁边,
1498,地元,じもと,名詞,9,当地,
1499,身元,みもと,名詞,9,身份,
1500,足元,あしもと,名詞,9,脚下,
1501,てんで,てんで,副詞,9,丝毫，完全,
1502,まったく,まったく,副詞,9,完全,
1503,さっぱり,さっぱり,副詞,9,完全,
1504,灭多に,めったに,副詞,9,几乎不,
1505,問い合わせる,といあわせる,他動詞,9,打听，查询,
1506,聞く,きく,他動詞,9,询问,
1507,間に合わせる,まにあわせる,他動詞,9,赶得上,
1508,言い合わせる,いいあわせる,他動詞,9,商定,
1509,打ち合わせる,うちあわせる,他動詞,9,商讨,
1510,引き合わせる,ひきあわせる,他動詞,9,介绍,
1511,待ち合わせる,まちあわせる,他動詞,9,碰头,
1512,見合わせる,みあわせる,他動詞,9,推迟,
1513,到底,とうてい,副詞,9,无论如何,
1514,点差,てんさ,名詞,9,分差,
1515,どうしても,どうしても,副詞,9,无论如何,
1516,いかにしても,いかにしても,副詞,9,无论如何,
1517,とても,とても,副詞,9,无论如何,
1518,堂々,どうどう,形容動詞/副詞,9,堂堂正正,
1519,崩す,くずす,他動詞,9,弄乱,
1520,等々,とうとう,副詞,9,终于,
1521,どうにか,どうにか,副詞,9,好歹，总算,
1522,穷地,きゅうち,名詞,9,困境,
1523,窮屈,きゅうくつ,形容動詞,9,窄小,
1524,切り抜ける,きりぬける,他動詞,9,摆脱,
1525,かろうじて,かろうじて,副詞,9,好不容易,
1526,なんとか,なんとか,副詞,9,设法,
1527,やっと,やっと,副詞,9,终于,
1528,ようやく,ようやく,副詞,9,好不容易,
1529,どうやら,どうやら,副詞,9,多半，大概；好歹,
1530,恐らく,おそらく,副詞,9,恐怕,
1531,多分,たぶん,副詞,9,大概,
1532,ひょっとすると,ひょっとすると,副詞,9,或许,
1533,もしかすると,もしかすると,副詞,9,或许,
1534,ことによると,ことによると,副詞,9,或许,
1535,どうにか,どうにか,副詞,9,好歹,
1536,かろうじて,かろうじて,副詞,9,好不容易,
1537,なんとか,なんとか,副詞,9,好歹,
1538,やっと,やっと,副詞,9,终于,
1539,ようやく,ようやく,副詞,9,好不容易,
1540,遠ざかる,とおざかる,自動詞,9,远离，疏远,
1541,汽笛,きてき,名詞,9,汽笛,
1542,患う,わずらう,他動詞,9,生病,
1543,煩う,わずらう,自動詞,9,烦恼,
1544,煩わしい,わずらわしい,形容詞,9,繁琐,
1545,面倒,めんどう,名詞/形容動詞,9,麻烦,
1546,手数,てかず,名詞,9,费事,
1547,手間,てま,名詞,9,费工,
1548,工夫,くふう,名詞/サ变,9,钻研,
1549,嫌らしい,いやらしい,形容詞,9,厌恶,
1550,うんざり,うんざり,副詞/サ变,9,厌烦,
1551,とかく,とかく,副詞,9,动不动，总是,
1552,ともすれば,ともすれば,副詞,9,容易,
1553,～がち,～がち,接尾辞,9,倾向于,
1554,塞ぎ込む,ふさぎこむ,自動詞,9,郁闷,
1555,咎める,とがめる,自動詞/他動詞,9,责备；盘问；发炎,
1556,弄る,いじる,他動詞,9,摆弄,
1557,责める,せめる,他動詞,9,责备,
1558,詰る,なじる,他動詞,9,责问,
1559,尋ねる,たずねる,他動詞,9,询问,
1560,腫れる,はれる,自動詞,9,肿,
1561,気触れる,かぶれる,自動詞,9,炎症,
1562,夢中,むちゅう,名詞/形容動詞,9,热衷,
1563,時折,ときおり,副詞,9,有时，偶尔,
1564,時々,ときどき,副詞,9,有时,
1565,折々,おりおり,副詞,9,有时,
1566,しょっちゅう,しょっちゅう,副詞,9,时常,
1567,ちょくちょく,ちょくちょく,副詞,9,时常,
1568,頻りに,しきりに,副詞,9,频繁,
1569,屡々,しばしば,副詞,9,常常,
1570,度々,たびたび,副詞,9,常常,
1571,途切れる,とぎれる,自動詞,9,间断,
